ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,stock_name,industry
002594.SZ,2025-03-14,357.0,377.18,355.62,375.94,354.5,21.44,6.048,224697.18,8292987.454,0.06047954866008465,0.38672076724455917,356.564,361.2175,2025-03,比亚迪,汽车新能源
002594.SZ,2025-03-17,382.32,383.0,375.96,380.25,375.94,4.31,1.1465,133068.87,5060211.613,0.011464595414161893,0.4026189597934342,362.41400000000004,362.80499999999995,2025-03,比亚迪,汽车新能源
002594.SZ,2025-03-18,388.55,390.0,380.01,384.57,380.25,4.32,1.1361,173338.78,6672881.109,0.011360946745562206,0.41855403909996336,369.252,364.22249999999997,2025-03,比亚迪,汽车新能源
002594.SZ,2025-03-19,384.53,399.0,382.54,397.07,384.57,12.5,3.2504,188351.5,7404859.765,0.03250383545258351,0.4646624861674662,378.466,366.15099999999995,2025-03,比亚迪,汽车新能源
002594.SZ,2025-03-20,400.0,403.4,395.99,399.99,397.07,2.92,0.7354,159412.84,6372989.565,0.007353867076334231,0.475433419402435,387.56399999999996,368.01149999999996,2025-03,比亚迪,汽车新能源
002594.SZ,2025-03-21,393.01,393.31,370.0,372.0,399.99,-27.99,-6.9977,282106.76,10685254.371,-0.06997674941873544,0.3721873847288828,386.77599999999995,367.4615,2025-03,比亚迪,汽车新能源
002594.SZ,2025-03-24,377.0,378.5,367.86,375.36,372.0,3.36,0.9032,147894.05,5522974.12,0.00903225806451613,0.38458133530062755,385.798,367.4155,2025-03,比亚迪,汽车新能源
002594.SZ,2025-03-25,377.98,379.6,368.98,369.59,375.36,-5.77,-1.5372,123085.36,4595791.802,-0.015371909633418723,0.3632976761342681,382.802,367.27049999999997,2025-03,比亚迪,汽车新能源
002594.SZ,2025-03-26,369.59,379.0,368.0,376.01,369.59,6.42,1.7371,120204.84,4503762.855,0.01737059985389222,0.38697897454813757,378.59000000000003,367.466,2025-03,比亚迪,汽车新能源
002594.SZ,2025-03-27,376.1,391.28,376.09,386.5,376.01,10.49,2.7898,144394.37,5554865.371,0.027898194196962933,0.42567318332718607,375.892,368.01599999999996,2025-03,比亚迪,汽车新能源
002594.SZ,2025-03-28,386.5,390.8,381.5,382.5,386.5,-4.0,-1.0349,114939.82,4428715.749,-0.010349288486416586,0.4109184802655852,377.992,369.05,2025-03,比亚迪,汽车新能源
002594.SZ,2025-03-31,380.0,383.28,374.0,374.9,382.5,-7.6,-1.9869,115783.91,4370400.299,-0.019869281045751697,0.38288454444854336,377.9,369.78450000000004,2025-03,比亚迪,汽车新能源
002594.SZ,2025-04-01,377.77,377.87,364.36,365.5,374.9,-9.4,-2.5073,154071.99,5663384.88,-0.02507335289410506,0.34821099225378127,377.082,370.8175,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-02,365.0,365.67,358.88,360.5,365.5,-5.0,-1.368,117100.41,4226638.863,-0.013679890560875485,0.3297676134267802,373.98,371.1445,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-03,355.5,361.53,354.26,357.51,360.5,-2.99,-0.8294,101023.22,3618676.87,-0.00829403606102641,0.3187384728882334,368.18199999999996,371.07349999999997,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-07,333.34,337.7,321.76,321.76,357.51,-35.75,-9.9997,273498.4,8911483.834,-0.099997202875444,0.18686831427517547,356.034,369.3415,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-08,321.76,335.88,318.0,327.51,321.76,5.75,1.787,274643.51,8924529.993,0.017870462456489378,0.2080781999262269,346.5559999999999,368.16700000000003,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-09,319.8,328.0,313.66,324.6,327.51,-2.91,-0.8885,211938.56,6822376.377,-0.008885224878629527,0.19734415344891243,338.376,366.878,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-10,334.5,347.06,334.0,336.4,324.6,11.8,3.6352,210895.78,7165511.481,0.03635243376463326,0.24087052748063487,333.55600000000004,366.148,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-11,337.0,357.55,336.4,354.98,336.4,18.58,5.5232,189944.93,6621821.827,0.05523186682520831,0.3094061232017713,333.05,366.17199999999997,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-14,363.2,363.7,355.6,359.0,354.98,4.02,1.1325,142069.17,5115484.103,0.011324581666572797,0.3242345997786802,340.49800000000005,365.325,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-15,364.6,365.0,357.33,359.97,359.0,0.97,0.2702,116515.57,4195947.009,0.002701949860724362,0.3278126152711185,346.98999999999995,364.31100000000004,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-16,356.62,357.0,348.1,352.15,359.97,-7.82,-2.1724,131827.93,4618462.218,-0.021724032558268935,0.29896717078568846,352.5,362.68999999999994,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-17,349.94,353.45,346.67,349.68,352.15,-2.47,-0.7014,85288.64,2985985.219,-0.007014056510009858,0.28985614164514995,355.156,360.3205,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-18,347.9,347.9,344.0,346.0,349.68,-3.68,-1.0524,73860.13,2553879.767,-0.01052390757263788,0.27628181482847713,353.36,357.621,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-21,346.0,349.87,345.24,348.76,346.0,2.76,0.7977,74953.41,2609226.235,0.007976878612716787,0.2864625599409818,351.312,356.459,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-22,348.76,356.93,346.78,354.84,348.76,6.08,1.7433,112122.06,3956085.869,0.017433191879802745,0.3088897085946152,350.286,355.433,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-23,377.0,378.0,367.23,371.99,354.84,17.15,4.8332,247926.89,9216822.11,0.04833164243039123,0.3721504979712291,354.254,355.553,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-24,372.48,374.6,363.35,366.0,371.99,-5.99,-1.6103,150892.11,5557113.199,-0.016102583402779702,0.3500553301364817,357.518,355.0525,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-25,370.0,375.3,368.1,370.83,366.0,4.83,1.3197,133869.42,4975314.905,0.013196721311475423,0.36787163408336476,362.484,354.269,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-28,367.13,367.13,356.56,360.0,370.83,-10.83,-2.9205,179783.2,6459136.36,-0.02920475689669122,0.3279232755440804,364.73199999999997,353.144,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-29,359.1,360.63,353.0,355.0,360.0,-5.0,-1.3889,118983.07,4237606.41,-0.01388888888888884,0.3094798967170793,364.764,352.149,2025-04,比亚迪,汽车新能源
002594.SZ,2025-04-30,354.9,354.93,349.3,353.09,355.0,-1.91,-0.538,130479.47,4599074.535,-0.005380281690140931,0.30243452600516485,360.98400000000004,351.5285,2025-04,比亚迪,汽车新能源
002594.SZ,2025-05-06,360.0,362.3,355.92,359.96,353.09,6.87,1.9457,148293.53,5326196.143,0.019456795717805564,0.32777572851346437,359.77599999999995,351.50149999999996,2025-05,比亚迪,汽车新能源
