ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,signal,position,strategy_return,strategy_cumulative_return
002594.SZ,2025-09-15,106.0,110.85,106.0,108.7,105.91,2.79,2.6343,974804.07,10620465.041,0.02634312151827034,-0.7025991792065661,106.378,108.4695,2025-09,0,0.0,0.0,-0.6866241176199901
002594.SZ,2025-09-16,109.0,109.0,107.22,107.8,108.7,-0.9,-0.828,533160.21,5753437.964,-0.008279668813247487,-0.7050615595075237,106.84,108.478,2025-09,0,0.0,-0.0,-0.6866241176199901
002594.SZ,2025-09-17,108.2,112.0,108.2,110.99,107.8,3.19,2.9592,981239.71,10827682.692,0.0295918367346939,-0.696333789329685,107.998,108.61500000000001,2025-09,0,0.0,0.0,-0.6866241176199901
002594.SZ,2025-09-18,110.99,112.8,108.56,109.71,110.99,-1.28,-1.1533,934013.8,10362193.293,-0.011532570501846973,-0.6998358413132693,108.62199999999999,108.74550000000002,2025-09,0,0.0,-0.0,-0.6866241176199901
002594.SZ,2025-09-19,109.8,110.8,109.0,109.09,109.71,-0.62,-0.5651,472977.48,5188176.204,-0.005651262419104852,-0.7015321477428178,109.258,108.66699999999999,2025-09,1,1.0,-0.0,-0.6866241176199901
002594.SZ,2025-09-22,108.87,108.91,107.15,107.99,109.09,-1.1,-1.0083,491559.23,5293961.578,-0.010083417361811398,-0.7045417236662104,109.11600000000001,108.48599999999999,2025-09,0,1.0,-0.010083417361811398,-0.6897840174331537
002594.SZ,2025-09-23,107.45,107.69,104.64,105.6,107.99,-2.39,-2.2132,650962.62,6888232.046,-0.02213167885915368,-0.711080711354309,108.676,108.0785,2025-09,0,1.0,-0.02213167885915368,-0.6966496179363
002594.SZ,2025-09-24,105.0,105.83,104.0,105.71,105.6,0.11,0.1042,548162.27,5758922.305,0.0010416666666666075,-0.7107797537619697,107.61999999999998,107.83,2025-09,-1,0.0,0.0010416666666666075,-0.6963336279549837
002594.SZ,2025-09-25,105.34,108.8,104.87,107.5,105.71,1.79,1.6933,693482.04,7421942.405,0.016933118910226197,-0.7058823529411762,107.178,107.73899999999999,2025-09,0,0.0,0.0,-0.6963336279549837
002594.SZ,2025-09-26,107.45,111.23,107.0,107.29,107.5,-0.21,-0.1953,756612.07,8250492.997,-0.0019534883720929708,-0.706456908344733,106.81799999999998,107.40050000000001,2025-09,0,0.0,-0.0,-0.6963336279549837
002594.SZ,2025-09-29,107.0,109.14,106.39,108.61,107.29,1.32,1.2303,613983.68,6621874.267,0.012303103737533627,-0.7028454172366618,106.94200000000001,107.346,2025-09,0,0.0,0.0,-0.6963336279549837
002594.SZ,2025-09-30,108.19,109.98,107.76,109.21,108.61,0.6,0.5524,567755.5,6200518.75,0.005524353190313969,-0.7012038303693569,107.66399999999999,107.30550000000001,2025-09,1,1.0,0.0,-0.6963336279549837
002594.SZ,2025-10-09,108.67,112.48,108.07,110.6,109.21,1.39,1.2728,1008721.97,11196004.667,0.012727772182034691,-0.6974008207934334,108.64200000000001,107.475,2025-10,0,1.0,0.012727772182034691,-0.6924686315522497
002594.SZ,2025-10-10,110.55,110.55,107.58,107.79,110.6,-2.81,-2.5407,590102.53,6420415.513,-0.025406871609403137,-0.7050889192886454,108.7,107.6645,2025-10,0,1.0,-0.025406871609403137,-0.7002820415462656
002594.SZ,2025-10-13,105.0,105.98,104.1,105.69,107.79,-2.1,-1.9482,744429.8,7841774.365,-0.01948232674645156,-0.7108344733242131,108.38,107.58599999999998,2025-10,0,1.0,-0.01948232674645156,-0.7061212447446408
002594.SZ,2025-10-14,106.68,109.36,105.62,105.99,105.69,0.3,0.2838,767786.27,8244228.529,0.0028384899233606653,-0.7100136798905606,107.856,107.57300000000001,2025-10,0,1.0,0.0028384899233606653,-0.7052870728591586
002594.SZ,2025-10-15,106.45,107.51,105.5,107.1,105.99,1.11,1.0473,475791.33,5063179.652,0.010472686102462436,-0.7069767441860463,107.434,107.65350000000001,2025-10,-1,0.0,0.010472686102462436,-0.7022006368828746
002594.SZ,2025-10-16,107.0,109.3,106.51,106.96,107.1,-0.14,-0.1307,523096.38,5628738.804,-0.0013071895424836555,-0.7073597811217508,106.70599999999999,107.7415,2025-10,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-10-17,106.6,106.63,104.26,104.43,106.96,-2.53,-2.3654,625724.94,6576614.911,-0.023653702318623626,-0.7142818057455538,106.03399999999999,107.63349999999998,2025-10,0,0.0,-0.0,-0.7022006368828746
002594.SZ,2025-10-20,105.22,105.63,104.08,104.52,104.43,0.09,0.0862,355614.52,3721699.722,0.0008618213157136623,-0.7140355677154581,105.8,107.564,2025-10,0,0.0,0.0,-0.7022006368828746
