ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,stock_name,industry
601318.SH,2025-04-25,51.24,51.59,51.22,51.33,51.22,0.11,0.2148,368499.39,1894916.291,0.0021475985942991382,0.012226385328338196,50.82,50.400999999999996,2025-04,中国平安,金融保险
601318.SH,2025-04-28,50.42,51.34,50.03,51.21,51.33,-0.12,-0.2338,518665.5,2632952.959,-0.0023378141437755406,0.00985998816801481,51.006,50.3635,2025-04,中国平安,金融保险
601318.SH,2025-04-29,51.17,51.64,50.86,51.0,51.21,-0.21,-0.4101,337540.05,1725062.887,-0.004100761570005829,0.005718793137448941,51.092,50.332,2025-04,中国平安,金融保险
601318.SH,2025-04-30,51.1,51.55,50.68,50.71,51.0,-0.29,-0.5686,377944.26,1927976.843,-0.005686274509803857,6.661338147750939e-16,51.093999999999994,50.286500000000004,2025-04,中国平安,金融保险
601318.SH,2025-05-06,51.0,51.15,50.55,50.8,50.71,0.09,0.1775,391512.45,1992284.115,0.0017747978702424838,0.00177479787024315,51.010000000000005,50.2335,2025-05,中国平安,金融保险
601318.SH,2025-05-07,51.42,51.63,51.03,51.18,50.8,0.38,0.748,420639.72,2156676.084,0.007480314960629952,0.009268388877933909,50.980000000000004,50.2185,2025-05,中国平安,金融保险
601318.SH,2025-05-08,51.01,52.35,50.9,51.96,51.18,0.78,1.524,671349.93,3487932.29,0.015240328253223856,0.024649970420036027,51.129999999999995,50.3885,2025-05,中国平安,金融保险
601318.SH,2025-05-09,51.91,52.16,51.75,51.75,51.96,-0.21,-0.4042,290709.23,1507958.915,-0.004041570438799047,0.020508775389470157,51.279999999999994,50.513,2025-05,中国平安,金融保险
601318.SH,2025-05-12,52.23,52.75,52.0,52.6,51.75,0.85,1.6425,577371.7,3028226.079,0.01642512077294689,0.03727075527509438,51.658,50.6965,2025-05,中国平安,金融保险
601318.SH,2025-05-13,52.79,52.79,52.25,52.46,52.6,-0.14,-0.2662,403920.12,2117089.329,-0.0026615969581749166,0.03450995858805039,51.989999999999995,50.8455,2025-05,中国平安,金融保险
601318.SH,2025-05-14,52.45,55.18,52.34,54.69,52.46,2.23,4.2509,1577229.61,8541172.666,0.042508577964163186,0.07848550581739366,52.69199999999999,51.1125,2025-05,中国平安,金融保险
601318.SH,2025-05-15,54.39,54.8,54.1,54.25,54.69,-0.44,-0.8045,569303.42,3095268.721,-0.008045346498445793,0.0698087162295411,53.15,51.351,2025-05,中国平安,金融保险
601318.SH,2025-05-16,54.05,54.44,53.38,53.39,54.25,-0.86,-1.5853,466129.51,2499109.899,-0.015852534562211917,0.0528495365805568,53.477999999999994,51.528999999999996,2025-05,中国平安,金融保险
601318.SH,2025-05-19,53.29,53.73,53.2,53.3,53.39,-0.09,-0.1686,324266.24,1730493.312,-0.0016857089342574572,0.051074738710314094,53.617999999999995,51.7,2025-05,中国平安,金融保险
601318.SH,2025-05-20,53.45,54.18,53.4,53.68,53.3,0.38,0.7129,352669.0,1895934.592,0.007129455909943738,0.05856832971800485,53.862,51.876,2025-05,中国平安,金融保险
601318.SH,2025-05-21,53.7,54.4,53.7,53.85,53.68,0.17,0.3167,333065.82,1800759.244,0.0031669150521609346,0.06192072569512974,53.694,52.0465,2025-05,中国平安,金融保险
601318.SH,2025-05-22,53.76,53.99,53.53,53.84,53.85,-0.01,-0.0186,240657.65,1294403.114,-0.00018570102135562205,0.06172352593176944,53.612,52.2245,2025-05,中国平安,金融保险
601318.SH,2025-05-23,53.81,54.46,53.17,53.23,53.84,-0.61,-1.133,430491.36,2314052.457,-0.011329866270430977,0.04969434036679199,53.58,52.3575,2025-05,中国平安,金融保险
601318.SH,2025-05-26,53.16,54.15,53.0,53.4,53.23,0.17,0.3194,388129.68,2078107.531,0.0031936877700544652,0.05304673634391688,53.6,52.49249999999999,2025-05,中国平安,金融保险
601318.SH,2025-05-27,53.4,53.86,53.3,53.4,53.4,0.0,0.0,255725.31,1368911.112,0.0,0.05304673634391688,53.544000000000004,52.6015,2025-05,中国平安,金融保险
601318.SH,2025-05-28,53.4,53.69,53.12,53.29,53.4,-0.11,-0.206,261697.94,1396312.012,-0.0020599250936329527,0.05087753894695379,53.431999999999995,52.6995,2025-05,中国平安,金融保险
601318.SH,2025-05-29,53.3,53.83,53.09,53.52,53.29,0.23,0.4316,348682.62,1868004.33,0.0043160067554888215,0.055413133504240264,53.36800000000001,52.815,2025-05,中国平安,金融保险
601318.SH,2025-05-30,53.37,53.69,52.85,53.28,53.52,-0.24,-0.4484,417238.55,2221553.128,-0.004484304932735439,0.05068033918359349,53.378,52.928999999999995,2025-05,中国平安,金融保险
601318.SH,2025-06-03,53.21,54.11,53.0,53.85,53.28,0.57,1.0698,453738.21,2430686.987,0.010698198198198172,0.06192072569512974,53.468,53.086,2025-06,中国平安,金融保险
601318.SH,2025-06-04,53.61,54.15,53.61,53.76,53.85,-0.09,-0.1671,430896.81,2322941.429,-0.0016713091922005985,0.060145927824887035,53.54,53.234,2025-06,中国平安,金融保险
601318.SH,2025-06-05,53.77,54.18,53.66,53.99,53.76,0.23,0.4278,419099.9,2260023.9,0.004278273809523947,0.06468152238217373,53.67999999999999,53.3745,2025-06,中国平安,金融保险
601318.SH,2025-06-06,54.0,54.12,53.35,53.41,53.99,-0.58,-1.0743,408553.3,2191002.621,-0.010742730135210321,0.05324393610727718,53.658,53.447,2025-06,中国平安,金融保险
601318.SH,2025-06-09,53.55,53.94,53.5,53.72,53.41,0.31,0.5804,397887.27,2137162.081,0.00580415652499533,0.059357128771446055,53.746,53.545500000000004,2025-06,中国平安,金融保险
601318.SH,2025-06-10,53.71,54.1,53.31,53.43,53.72,-0.29,-0.5398,467079.45,2510066.317,-0.005398361876396085,0.05363833563399778,53.662,53.587,2025-06,中国平安,金融保险
601318.SH,2025-06-11,53.4,54.65,53.4,54.46,53.43,1.03,1.9278,681830.15,3704026.068,0.01927755942354481,0.07394991126010697,53.802,53.687,2025-06,中国平安,金融保险
601318.SH,2025-06-12,54.3,55.33,54.03,54.81,54.46,0.35,0.6427,589999.06,3231103.73,0.006426735218509005,0.08085190297771683,53.965999999999994,53.693000000000005,2025-06,中国平安,金融保险
601318.SH,2025-06-13,54.83,54.9,54.28,54.48,54.81,-0.33,-0.6021,480228.96,2616565.694,-0.006020799124247467,0.07434431078682735,54.18000000000001,53.70450000000001,2025-06,中国平安,金融保险
601318.SH,2025-06-16,54.33,54.58,54.06,54.32,54.48,-0.16,-0.2937,496770.75,2697778.32,-0.002936857562408135,0.07118911457306298,54.3,53.751,2025-06,中国平安,金融保险
601318.SH,2025-06-17,54.3,54.51,53.94,54.23,54.32,-0.09,-0.1657,506288.78,2745763.183,-0.0016568483063329476,0.06941431670282028,54.46,53.7975,2025-06,中国平安,金融保险
601318.SH,2025-06-18,54.18,54.28,53.3,53.81,54.23,-0.42,-0.7745,469363.8,2518852.918,-0.0077447907062510035,0.06113192664168854,54.33,53.803999999999995,2025-06,中国平安,金融保险
601318.SH,2025-06-19,53.69,53.8,53.12,53.2,53.81,-0.61,-1.1336,401880.78,2143533.731,-0.011336182865638311,0.04910274107671131,54.008,53.7715,2025-06,中国平安,金融保险
601318.SH,2025-06-20,53.19,54.86,53.19,54.74,53.2,1.54,2.8947,847430.47,4606219.515,0.02894736842105261,0.07947150463419494,54.06,53.8165,2025-06,中国平安,金融保险
601318.SH,2025-06-23,54.5,55.25,54.26,55.1,54.74,0.36,0.6577,614705.13,3373267.494,0.006576543660942624,0.0865706961151651,54.21600000000001,53.910000000000004,2025-06,中国平安,金融保险
601318.SH,2025-06-24,55.21,56.97,55.2,56.79,55.1,1.69,3.0672,1040797.89,5873914.857,0.03067150635208704,0.11989745612305303,54.727999999999994,54.07950000000001,2025-06,中国平安,金融保险
601318.SH,2025-06-25,56.8,58.0,56.58,57.88,56.79,1.09,1.9194,1046131.32,5998384.734,0.01919351998591301,0.14139223032932402,55.541999999999994,54.3035,2025-06,中国平安,金融保险
601318.SH,2025-06-26,57.79,58.08,57.47,57.58,57.88,-0.3,-0.5183,500739.81,2888896.788,-0.005183137525915815,0.13547623742851544,56.418000000000006,54.51800000000001,2025-06,中国平安,金融保险
601318.SH,2025-06-27,57.58,58.13,56.61,56.96,57.58,-0.62,-1.0768,667631.67,3832894.682,-0.010767627648489042,0.12324985210017791,56.862,54.69000000000001,2025-06,中国平安,金融保险
601318.SH,2025-06-30,55.5,55.95,55.13,55.48,55.36,0.12,0.2168,564781.95,3133724.72,-0.025983146067415808,0.09406428712285586,56.938,54.8,2025-06,中国平安,金融保险
601318.SH,2025-07-01,55.66,55.89,55.3,55.7,55.48,0.22,0.3965,352746.36,1961556.961,0.003965392934390799,0.09840268191678203,56.71999999999999,54.8925,2025-07,中国平安,金融保险
601318.SH,2025-07-02,55.7,56.01,55.35,55.81,55.7,0.11,0.1975,395629.02,2204210.316,0.0019748653500897273,0.10057187931374512,56.306,54.99499999999999,2025-07,中国平安,金融保险
601318.SH,2025-07-03,55.9,56.2,55.66,55.8,55.81,-0.01,-0.0179,325100.6,1817404.362,-0.00017917935853795086,0.10037467955038482,55.95,55.0855,2025-07,中国平安,金融保险
601318.SH,2025-07-04,55.7,57.39,55.43,56.57,55.8,0.77,1.3799,654544.05,3695501.729,0.013799283154121822,0.11555906132912663,55.872,55.243500000000004,2025-07,中国平安,金融保险
601318.SH,2025-07-07,56.59,56.8,56.06,56.43,56.57,-0.14,-0.2475,321762.78,1813966.809,-0.0024748099699487547,0.11279826464208265,56.062,55.379000000000005,2025-07,中国平安,金融保险
601318.SH,2025-07-08,56.4,56.78,56.11,56.45,56.43,0.02,0.0354,343459.72,1939149.952,0.0003544214070529961,0.11319266416880325,56.212,55.529999999999994,2025-07,中国平安,金融保险
601318.SH,2025-07-09,56.45,56.78,55.88,55.9,56.45,-0.55,-0.9743,395462.79,2223715.808,-0.009743135518157753,0.1023466771839876,56.23,55.602,2025-07,中国平安,金融保险
601318.SH,2025-07-10,55.9,57.58,55.81,57.13,55.9,1.23,2.2004,828881.53,4726621.457,0.022003577817531372,0.12660224807730258,56.496,55.718,2025-07,中国平安,金融保险
601318.SH,2025-07-11,57.0,59.02,56.96,57.71,57.13,0.58,1.0152,1076428.94,6269330.973,0.010152284263959421,0.13803983435219913,56.724000000000004,55.87949999999999,2025-07,中国平安,金融保险
